Main-related Command Support List;;
Code;Means;'TX-NR609
(Ether)'
"PWR" - System Power Command  ;;
"00";sets System Standby;Yes
"01";sets System On;Yes
"QSTN";gets the System Power Status;Yes
"AMT" - Audio Muting Command;;
"00";sets Audio Muting Off;Yes
"01";sets Audio Muting On;Yes
"TG";sets Audio Muting Wrap-Around;Yes
"QSTN";gets the Audio Muting State;Yes
"SPA"/"SPB" - Speaker A/B Command;;
"00";sets Speaker Off;No
"01";sets Speaker On;No
"UP";sets Speaker Switch Wrap-Around;No
"QSTN";gets the Speaker State;No
*1:SPA=MAIN A/SPB=MAIN B;;
*2:SPA=Front A/SPB=Front B(Exclucive use);;
"SPL" - Speaker Layout Command;;
”SB";sets SurrBack Speaker ;No
"FH";sets Front High Speaker / SurrBack+Front High Speakers;No
"FW";sets Front Wide Speaker / SurrBack+Front Wide Speakers;No
"HW";sets                                   Front High+Front Wide Speakers;No
"UP";sets Speaker Switch Wrap-Around;No
"QSTN";gets the Speaker State;No
"MVL" - Master Volume Command ;;
"00"-"64";Volume Level 0 – 100 ( In hexadecimal representation);Yes
"00"-"50";Volume Level 0 – 80 ( In hexadecimal representation);No
"UP";sets Volume Level Up;Yes
"DOWN";sets Volume Level Down;Yes
"UP1";sets Volume Level Up 1dB Step;No
"DOWN1";sets Volume Level Down 1dB Step;No
"QSTN";gets the Volume Level;Yes
"TFR" - Tone(Front) Command;;
"Bxx";Front Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];Yes
"Txx";Front Treble (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];Yes
"BUP";sets Front Bass up(2 step);Yes
"BDOWN";sets Front Bass down(2 step);Yes
"TUP";sets Front Treble up(2 step);Yes
"TDOWN";sets Front Treble down(2 step);Yes
"QSTN";gets Front Tone ("BxxTxx");Yes
"TFW" - Tone(Front Wide) Command;;
"Bxx";Front Wide Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"Txx";Front Wide Treble (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"BUP";sets Front Wide Bass up(2 step);No
"BDOWN";sets Front Wide Bass down(2 step);No
"TUP";sets Front Wide Treble up(2 step);No
"TDOWN";sets Front Wide Treble down(2 step);No
"QSTN";gets Front Wide Tone ("BxxTxx");No
"TFH" - Tone(Front High) Command;;
"Bxx";Front High Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"Txx";Front High Treble (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"BUP";sets Front High Bass up(2 step);No
"BDOWN";sets Front High Bass down(2 step);No
"TUP";sets Front High Treble up(2 step);No
"TDOWN";sets Front High Treble down(2 step);No
"QSTN";gets Front High Tone ("BxxTxx");No
"TCT" - Tone(Center) Command;;
"Bxx";Center Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"Txx";Center Treble (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"BUP";sets Center Bass up(2 step);No
"BDOWN";sets Center Bass down(2 step);No
"TUP";sets Center Treble up(2 step);No
"TDOWN";sets Center Treble down(2 step);No
"QSTN";gets Cetner Tone ("BxxTxx");No
"TSR" - Tone(Surround) Command;;
"Bxx";Surround Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"Txx";Surround Treble (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"BUP";sets Surround Bass up(2 step);No
"BDOWN";sets Surround Bass down(2 step);No
"TUP";sets Surround Treble up(2 step);No
"TDOWN";sets Surround Treble down(2 step);No
"QSTN";gets Surround Tone ("BxxTxx");No
"TSB" - Tone(Surround Back) Command;;
"Bxx";Surround Back Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"Txx";Surround Back Treble (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"BUP";sets Surround Back Bass up(2 step);No
"BDOWN";sets Surround Back Bass down(2 step);No
"TUP";sets Surround Back Treble up(2 step);No
"TDOWN";sets Surround Back Treble down(2 step);No
"QSTN";gets Surround Back Tone ("BxxTxx");No
"TSW" - Tone(Subwoofer) Command;;
"Bxx";Subwoofer Bass (xx is "-A"..."00"..."+A"[-10...0...+10 2 step];No
"BUP";sets Subwoofer Bass up(2 step);No
"BDOWN";sets Subwoofer Bass down(2 step);No
"QSTN";gets Subwoofer Tone ("BxxTxx");No
;;
"SLP" - Sleep Set Command ;;
“01”-“5A”;sets Sleep Time 1 - 90min ( In hexadecimal representation);Yes
“OFF”;sets Sleep Time Off;Yes
“UP”;sets Sleep Time Wrap-Around UP;Yes
“QSTN”;gets The Sleep Time;Yes
"SLC" - Speaker Level Calibration Command ;;
“TEST”;TEST Key;Yes
“CHSEL”;CH SEL Key;Yes
“UP”;LEVEL + Key;Yes
“DOWN”;LEVEL – KEY;Yes
"SWL" - Subwoofer (temporary) Level Command ;;
“-F”-"00"-"+C";sets Subwoofer Level -15dB - 0dB - +12dB;Yes
“UP”;LEVEL + Key;Yes
“DOWN”;LEVEL – KEY;Yes
"QSTN";gets the Subwoofer Level;Yes
"CTL" - Center (temporary) Level Command ;;
“-C”-"00"-"+C";sets Center Level -12dB - 0dB - +12dB;Yes
“UP”;LEVEL + Key;Yes
“DOWN”;LEVEL – KEY;Yes
"QSTN";gets the Subwoofer Level;Yes
"DIF" - Display Information Command ;;
"00";Display Program Format;No
"01";Display Digital Input Position;No
"02";Display Digital Format Position;No
"03";Display Bass Level;No
"04";Display Treble Level;No
"DIF" - Display Mode Command ;;
